episode,reward,length
927,945.0,100
928,987.0,100
929,970.0,100
930,1095.0,100
931,952.0,100
932,975.0,100
933,1019.0,100
934,1027.0,100
935,954.0,100
936,1105.0,100
937,1080.0,100
938,1150.0,100
939,960.0,100
940,1165.0,100
941,1040.0,100
942,1070.0,100
943,920.0,100
944,990.0,100
945,1125.0,100
946,975.0,100
947,1045.0,100
948,1137.0,100
949,1070.0,100
950,1115.0,100
951,1130.0,100
952,1175.0,100
953,1022.0,100
954,1100.0,100
955,1025.0,100
956,1080.0,100
957,1025.0,100
958,935.0,100
959,1040.0,100
960,1080.0,100
961,1085.0,100
962,969.0,100
963,962.0,100
964,1130.0,100
965,1035.0,100
966,1020.0,100
967,1092.0,100
968,1055.0,100
969,995.0,100
970,1005.0,100
971,1040.0,100
972,1122.0,100
973,1140.0,100
974,1035.0,100
975,980.0,100
976,947.0,100
977,980.0,100
978,1015.0,100
979,1157.0,100
980,1005.0,100
981,990.0,100
982,1005.0,100
983,1055.0,100
984,905.0,100
985,1009.0,100
986,847.0,100
987,1140.0,100
988,1142.0,100
989,1027.0,100
990,975.0,100
991,1205.0,100
992,990.0,100
993,1065.0,100
994,1115.0,100
995,960.0,100
996,1170.0,100
997,992.0,100
998,1070.0,100
999,1040.0,100
